Date,Unique trial code,Original trial,trip,trial,det,Left camera,Right camera,Camera,Card Left,Card Right,Time start,Time app,App#,Pass#,ID,dist,reaction,App Direction,Time bait,Comments,Discard?
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,3,1,Itchy,3,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,3,2,Itchy,1,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,3,3,Itchy,2,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,3,4,Itchy,2,N,,,Touched rope,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,3,5,Itchy,0.5,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,4,1,Itchy,10,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,5,1,Itchy,1.5,N,,,Touched rope,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,6,1,Itchy,5,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,7,1,Itchy,7,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,7,1,Itchy,6,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,7,2,Itchy,1,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,8,1,Itchy,4,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,9,1,Itchy,6,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,10,1,Itchy,4,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,11,1,Itchy,6,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,1,1,Scratchy,4,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,2,1,Scratchy,2.5,Y,,,Reaction,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,3,1,Scratchy,12,N,D,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,4,1,Scratchy,7,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,1,1,Unknown,7,N,,,New shark? Same as unknown in Trial 13. Big shark,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,2,1,Unknown,5,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,2,2,Unknown,4,N,,,,
26/3/20,15m,15,3,18,Boat01,?,?,?,45,37,4:33,,1,1,Itchy,1,N,,,Touched rope,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,1,2,Itchy,1.5,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,1,3,Itchy,2.5,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,2,1,Itchy,2,N,,,Next to Marlin Board,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,3,1,Itchy,8,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,4,1,Itchy,2.5,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,5,1,Itchy,2.5,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,6,1,Itchy,6,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,6,2,Itchy,2.5,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,1,1,Shark 4,3,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,2,1,Shark 4,12,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,3,1,Shark 4,6,N,,,,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,4,1,Shark 4,2,N,,,Next to Marlin Board,
26/3/20,,15,3,18,Boat01,?,?,?,45,37,,,4,1,Shark 4,10,N,,,,
