Month,trip,Original trial,trial,Deterrent,Filename,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Shark ID,Bait taken?,Comment,LOI,AT,Reaction
March,3,10,12,Boat01,Left_10b_20200326.MP4,21167,5.8856,1322.966,22.363,233.906,4760.289,11.765,41.792,22.532,506.033,-828.282,-4660.282,BH,20200614,,,carcharias,,Bait,AD,Passing,Scratchy,N,Taken from Dorsal,M,S,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,21178,5.8887,2196.967,35.364,127.727,5169.78,10.811,73.998,35.306,965.068,94.675,-5078.022,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,,M,S,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,22324,6.2073,0,7.72,108.461,2180.454,13.415,0,0,244.95,-442.615,-2120.96,BH,20200614,,,carcharias,,Bait,AD,Feeding,Itchy,N,,H,S,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,22553,6.271,4762.476,60.168,419.765,5642.375,17.577,65.089,13.666,1100.446,-1300.909,-5378.946,BH,20200614,,,carcharias,,Bait,AD,Passing,Bully,N,,H,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,24216,6.7334,927.752,15.989,107.057,4207.882,6.766,82.115,56.101,-102.624,485.002,-4178.578,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,25472,7.0826,2474.706,40.945,109.895,5021.565,7.915,73.581,17.288,19.441,691.185,-4973.732,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,32332,8.9901,8822.096,10000.232,102.345,3782.076,16.028,73.906,1.578,1041.209,-79.71,-3635.055,BH,20200614,,,carcharias,,Bait,AD,Passing,Bully,N,,L,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,33492,9.3126,5601.891,8905.189,31.678,3265.608,6.225,79.377,0.016,346.698,72.134,-3246.351,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,35842,9.9661,1832.701,33.977,153.596,4921.74,8.536,85.017,32.384,166.9,711.231,-4867.219,BH,20200614,,,carcharias,,Bait,AD,Passing,Bully,N,,M,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,36878,10.2541,6067.236,80.572,279.369,6212.688,11.065,71.894,18.671,656.128,995.591,-6097.195,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,,L,S,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,37763,10.5002,579.209,30.977,58.975,4556.908,1.457,80.174,18.008,-102.349,-54.381,-4555.434,BH,20200614,,,carcharias,,Bait,AD,Passing,Bully,N,,M,D,N
