trip,trial,det,time,ID,activity,dist,app_type,intent,reaction
4,27,Control,18.8155,New Tagged,Passing,6354.773,D,M,N
4,27,Control,20.1793,New tagged,Passing,1559.79,D,H,N
4,27,Control,21.0633,New tagged,Passing,591.116,D,H,N
4,28,Boat01 80-V,16.1542,New Tagged,Passing,889.289,D,L,N
4,28,Boat01 80-V,16.8268,New Tagged,Passing,1293.288,D,M,N
4,28,Boat01 80-V,17.9026,New Tagged,Passing,656.794,D,H,N
4,29,Control,4.4544,Unknown,Passing,2251.399,D,H,N
4,29,Control,10.8264,Unknown,Passing,2143.61,D,H,N
4,29,Control,11.2396,Unknown,Feeding,0,D,H,N
4,30,Boat01 80-V,13.5143,Old Tag,Passing,1767.976,D,M,N
4,30,Boat01 80-V,13.7715,Old Tag,Passing,1161.86,D,M,Y
4,30,Boat01 80-V,14.0507,Old Tag,Feeding,0,D,H,N
4,30,Boat01 80-V,14.3421,Old Tag,Passing,4363.428,D,H,Y
4,30,Boat01 80-V,14.5715,Old Tag,Feeding,0,D,H,N
4,31,Boat01 80-V,2.8531,Marlin,Feeding,0,S,H,N
4,31,Boat01 80-V,3.3942,Marlin,Passing,1531.117,D,H,N
4,31,Boat01 80-V,3.7173,Marlin,Passing,3445.465,S,H,N
4,31,Boat01 80-V,4.2662,Marlin,Passing,4042.46,D,H,N
4,32,Boat01 80-V,7.7844,Old Tag,Passing,2079.521,S,M,Y
4,32,Boat01 80-V,8.0669,Old Tag,Passing,3513.216,S,M,N
4,32,Boat01 80-V,8.2691,Old Tag,Passing,3207.376,S,H,N
4,32,Boat01 80-V,8.4871,Old Tag,Passing,2003.287,S,H,N
4,32,Boat01 80-V,8.7785,Old Tag,Passing,2679.173,S,H,N
4,32,Boat01 80-V,9.4497,Old Tag,Passing,4052.42,S,M,N
4,32,Boat01 80-V,9.8098,Old Tag,Passing,2695.835,S,M,N
4,32,Boat01 80-V,10.087,Old Tag,Passing,3584.877,S,M,N
4,32,Boat01 80-V,10.2322,Old Tag,Passing,3975.446,S,H,N
4,32,Boat01 80-V,10.4529,Old Tag,Passing,2800.321,S,H,N
4,32,Boat01 80-V,11.2346,Colleen,Passing,3567.92,D,H,N
4,32,Boat01 80-V,11.7139,Old Tag,Passing,2235.425,S,M,N
4,32,Boat01 80-V,11.92,Old Tag,Passing,2199.952,S,M,N
4,32,Boat01 80-V,12.1427,Old Tag,Passing,1000,S,H,N
4,32,Boat01 80-V,12.5993,Old Tag,Passing,1651.513,S,M,Y
4,32,Boat01 80-V,13.1526,Colleen,Passing,5236.797,D,L,N
4,32,Boat01 80-V,13.7134,Old Tag,Feeding,0,S,H,Y
4,32,Boat01 80-V,15.7065,Old Tag,Passing,2247.196,S,M,N
4,32,Boat01 80-V,16.3716,Old Tag,Passing,2716.827,S,M,N
4,32,Boat01 80-V,16.8913,Old Tag,Passing,3746.308,S,M,N
4,32,Boat01 80-V,19.3582,Old Tag,Passing,3267.167,D,M,N
4,32,Boat01 80-V,19.6324,Old Tag,Passing,3536.042,S,M,N
4,32,Boat01 80-V,20.1735,Old Tag,Passing,2688.148,S,M,N
4,32,Boat01 80-V,21.266,Old Tag,Passing,3670.916,S,M,N
4,32,Boat01 80-V,22.0623,Old Tag,Passing,4363.203,S,M,N
4,33,Control,25.1334,Old Tag,Passing,5292.248,S,L,N
4,33,Control,25.7246,Colleen,Passing,6163.939,S,L,N
4,33,Control,26.1951,Old Tag,Passing,3937.846,S,M,N
4,33,Control,26.4737,Old Tag,Passing,2138.796,S,M,N
4,33,Control,28.1309,Colleen,Passing,5134.017,D,M,N
4,33,Control,28.1309,Colleen,Passing,5819.01,D,M,N
4,33,Control,31.8343,Old Tag,Feeding,0,D,H,N
4,34,Boat01 80-V,1.6992,Old Tag,Passing,2814.267,S,M,N
