Month,trip,Original trial,trial,Deterrent,Time (mins),dist,Precision (mm),RMS (mm),Number,Activity,ID,Bait taken?,Comment,LOI,AT,react
April,4,4,22,Boat01,70.2949,2683.464,71.89,31.369,Bait,Passing,New Tagged,N,,M,D,N
April,4,4,22,Boat01,70.5722,2501.449,63.871,22.182,Bait,Passing,New Tagged,N,,M,D,N
April,4,4,22,Boat01,71.1402,1974.483,56.704,19.398,Bait,Passing,New Tagged,N,Reaction - quick head spasm,H,D,Y
April,4,4,22,Boat01,72.3884,5367.852,95.74,17.419,Bait,Passing,New Tagged,N,,M,D,N
April,4,4,22,Boat01,73.1011,5774.349,88.56,36.417,Bait,Passing,New Tagged,N,,M,S,N
April,4,4,22,Boat01,77.9153,3657.953,61.653,4.793,Bait,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,0.9387,461.61,10.896,34.484,Bait,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,1.2571,4042.937,8143.03,5.766,Bait,Passing,New Tagged,N,Measurement from Dorsal,M,D,N
April,4,5,23,Control,1.4609,4586.093,52.307,25.553,bait,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,3.833,6885.954,98.906,25.771,Bait,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,5.7215,2697.986,34.134,11.892,Bait,Passing,New Tagged,N,Measurement from Dorsal,M,D,N
April,4,5,23,Control,7.0765,2499.326,42.32,6.61,Bait,Passing,New Tagged,N,,H,D,N
April,4,5,23,Control,7.1697,2221.395,19.931,11.556,Bait,Passing,New Tagged,N,,H,D,N
April,4,5,23,Control,8.1123,2152.969,32.226,13.347,Bait,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,8.6592,2727.383,43.755,16.779,Bait,Passing,New Tagged,N,Reaction - quick head spasm,M,D,Y
April,4,5,23,Control,9.2159,2146.576,26.028,10.882,Bait,Passing,New Tagged,N,,H,D,N
April,4,7,24,Boat01,12.5628,0,49.04,53.736,Bait,Feeding,New Tagged,N,Touch bait line,H,S,N
April,4,7,24,Boat01,13.1885,0,24.925,142.985,Bait,Feeding,Marlin,N,Touch bait line,H,S,N
April,4,7,24,Boat01,2.7311,3298.941,32.673,88.846,Bait,Passing,New Tagged,N,,M,S,N
April,4,7,24,Boat01,3.4532,3425.627,35.754,83.781,Bait,Passing,New Tagged,N,Measured from top of caudal fin,M,D,N
April,4,7,24,Boat01,7.0704,4354.262,65.696,69.324,Bait,Passing,Unknown,N,,L,D,N
April,4,7,24,Boat01,7.6307,3525.172,35.719,119.407,Bait,Passing,New Tagged,N,,M,S,N
April,4,7,24,Boat01,8.414,12582.466,10000.072,8.708,Bait,Passing,New Tagged,N,,M,D,N
April,4,7,24,Boat01,10.2811,3461.005,44.727,86.816,Bait,Passing,New Tagged,N,,M,D,N
April,4,7,24,Boat01,10.9151,3319.479,37.664,56.596,Bait,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,12.8845,6350.635,151.477,54.791,Bait,Passing,Unknown,N,,M,D,N
April,4,8,25,Boat01,13.5866,3505.875,10000.024,5.985,Bait,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,14.3201,1642.934,16.364,166.829,Bait,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,15.2166,2976.276,28.732,27.662,Bait,Passing,New Tagged,N,Measured from dorsal,M,D,N
April,4,8,25,Boat01,5.664,1732.122,17.315,55.42,Bait,Passing,New Tagged,N,Reaction-swift change in direction,M,D,Y
April,4,8,25,Boat01,5.9204,975.482,14.767,130.427,Bait,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,6.2212,945.345,18.768,84.407,Bait,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,6.4887,1326.08,18.853,174.832,Bait,Passing,Unknown,N,Measured from armpit,M,D,N
April,4,8,25,Boat01,6.6758,617.245,4.939,190.933,Bait,Passing,Unknown,N,,M,D,N
April,4,8,25,Boat01,7.2611,2996.278,31.796,68.207,Bait,Passing,Unknown,N,Measured from dorsal,M,D,N
April,4,8,25,Boat01,7.2611,2404.803,18.746,54.717,Bait,Passing,Unknown,N,,M,D,N
April,4,8,25,Boat01,8.424,2460.367,25.288,112.403,Bait,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,11.1948,3734.991,53.12,85.206,Bait,Passing,New Tagged,N,Reaction - Swift movement of the h,M,D,Y
April,4,8,25,Boat01,11.3602,985.065,10.638,182.385,Bait,Passing,New Tagged,N,,M,V,N
April,4,8,25,Boat01,11.536,14981.66,381.215,187.488,Bait,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,11.9019,10499.11,10000.072,132.857,Bait,Passing,New Tagged,N,,M,D,N
April,4,9,26,Control,10.0575,0,20.486,62.297,Bait,Feeding,New Tagged,Y,Touched bait,H,D,N
April,4,9,26,Control,13.8302,5385.505,60.614,136.47,Bait,Passing,New Tagged,Y,Measured from top of caudal fin,M,D,N
April,4,9,26,Control,14.4667,0,22.589,85.622,Bait,Feeding,Marlin,Y,Bait taken - Breach,H,V,N
April,4,10,27,Control,9.386,2796.173,47.541,168.195,Bait,Passing,Old Tag,N,Measurement taken from Pectoral,M,S,N
April,4,10,27,Control,9.4113,3686.464,61.925,169.129,Bait,Passing,New Tagged,N,,M,V,N
April,4,10,27,Control,9.9085,Cannot compute,,,Bait,Passing,New Tagged,N,Measurement from dorsal fin,H,V,N
April,4,10,27,Control,13.1351,8311.029,10000.006,77.347,bait,Passing,New Tagged,N,,M,D,N
April,4,10,27,Control,13.4012,Cannot compute,,,Bait,Passing,New tagged,N,,M,D,N
April,4,10,27,Control,16.0449,3062.87,73.53,301.248,Bait,Passing,New tagged,N,,M,D,N
April,4,10,27,Control,16.658,2637.708,29.717,67.383,Bait,Passing,New Tagged,N,,M,V,N
April,4,10,27,Control,17.054,0,13.258,92.183,Bait,Feeding,New Tagged,N,Touch,H,D,N
April,4,10,27,Control,18.2858,1254.965,4.138,148.677,Bait,Passing,New Tagged,N,,M,S,N
April,4,10,27,Control,18.8155,6354.773,73.969,308.134,Bait,Passing,New Tagged,N,Measurement taken from dorsal,M,D,N
April,4,10,27,Control,20.1793,1559.79,48.206,271.523,Bait,Passing,New tagged,N,,H,D,N
April,4,10,27,Control,21.0633,591.116,15.124,78.89,Bait,Passing,New tagged,N,,H,D,N
April,4,12,28,Boat01,16.1542,889.289,12.93,70.644,Bait,Passing,New Tagged,N,,L,D,N
April,4,12,28,Boat01,16.8268,1293.288,52.832,109.782,Bait,Passing,New Tagged,N,,M,D,N
April,4,12,28,Boat01,17.9026,656.794,9.97,115.471,Bait,Passing,New Tagged,N,,H,D,N
April,4,13,29,Control,4.4544,2251.399,31.123,185.399,Bait,Passing,Unknown,Y,Measured from top/front pectoral,H,D,N
April,4,13,29,Control,10.8264,2143.61,30.369,191.873,Bait,Passing,Unknown,Y,Measured from dorsal,H,D,N
April,4,13,29,Control,11.2396,0,160.023,169.532,Bait,Feeding,Unknown,Y,,H,D,N
April,4,15,30,Boat01,13.5143,1767.976,30.594,68.964,Bait,Passing,Old Tag,Y,,M,D,N
April,4,15,30,Boat01,13.7715,1161.86,17.471,30.7,Bait,Passing,Old Tag,Y,Reaction - Head shake,M,D,Y
April,4,15,30,Boat01,14.0507,0,19.192,162.602,Bait,Feeding,Old Tag,Y,Tried to bite Marshmellow float,H,D,N
April,4,15,30,Boat01,14.3421,4363.428,60.159,90.211,Bait,Passing,Old Tag,Y,Reaction - swift movement away,H,D,Y
April,4,15,30,Boat01,14.5715,0,49.417,126.345,Bait,Feeding,Old Tag,Y,Touched bait line,H,D,N
April,4,16,31,Boat01,2.8531,0,42.145,17.775,Bait,Feeding,Marlin,N,,H,S,N
April,4,16,31,Boat01,3.3942,1531.117,22.428,272.5,Bait,Passing,Marlin,N,,H,D,N
April,4,16,31,Boat01,3.7173,3445.465,60.838,218.789,Bait,Passing,Marlin,N,,H,S,N
April,4,16,31,Boat01,4.2662,4042.46,51.359,287.254,Bait,Passing,Marlin,N,Taken from Pectoral,H,D,N
April,4,17,32,Boat01,7.7844,2079.521,40.039,6.813,Bait,Passing,Old Tag,N,Reaction - quick head movement,M,S,Y
April,4,17,32,Boat01,8.0669,3513.216,63.566,33.646,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,8.2691,3207.376,67.814,10.954,Bait,Passing,Old Tag,N,,H,S,N
April,4,17,32,Boat01,8.4871,2003.287,41.098,16.169,Bait,Passing,Old Tag,N,,H,S,N
April,4,17,32,Boat01,8.7785,2679.173,59.111,1.876,Bait,Passing,Old Tag,N,,H,S,N
April,4,17,32,Boat01,9.4497,4052.42,84.69,17.381,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,9.8098,2695.835,49.448,3.445,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,10.087,3584.877,60.642,6.774,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,10.2322,3975.446,61.784,12.999,Bait,Passing,Old Tag,N,,H,S,N
April,4,17,32,Boat01,10.4529,2800.321,27.107,4.272,Bait,Passing,Old Tag,N,,H,S,N
April,4,17,32,Boat01,11.2346,3567.92,64.047,13.741,Bait,Passing,Colleen,N,Taken from Dorsal,H,D,N
April,4,17,32,Boat01,11.7139,2235.425,13.979,5.428,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,11.92,2199.952,22.825,13.963,Bait,Passing,Old Tag,N,Measurment from Pectoral,M,S,N
April,4,17,32,Boat01,12.1427,1000,,,Bait,Passing,Old Tag,N,Can't Compute - approx >1m,H,S,N
April,4,17,32,Boat01,12.5993,1651.513,35.659,10.559,Bait,Passing,Old Tag,N,Reaction - quick head jerk,M,S,Y
April,4,17,32,Boat01,13.1526,5236.797,92.452,77.09,Bait,Passing,Colleen,N,From Dorsal,L,D,N
April,4,17,32,Boat01,13.7134,0,27.768,5.088,Bait,Feeding,Old Tag,N,Reaction - Whole Body Spasm,H,S,Y
April,4,17,32,Boat01,15.7065,2247.196,26.265,7.805,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,16.3716,2716.827,53.138,1.325,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,16.8913,3746.308,50.905,10.724,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,19.3582,3267.167,52.764,2.421,Bait,Passing,Old Tag,N,,M,D,N
April,4,17,32,Boat01,19.6324,3536.042,53.542,1.888,Bait,Passing,Old tag,N,,M,S,N
April,4,17,32,Boat01,20.1735,2688.148,46.372,0.657,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,21.266,3670.916,71.186,12.298,Bait,Passing,Old Tag,N,,M,S,N
April,4,17,32,Boat01,22.0623,4363.203,99.785,12.828,Bait,Passing,Old Tag,N,,M,S,N
April,4,18,33,Control,25.1334,5292.248,71.406,9.601,Bait,Passing,Old Tag,Y,,L,S,N
April,4,18,33,Control,25.7246,6163.939,96.73,17.736,Bait,Passing,Colleen,Y,,L,S,N
